" ","   3-3 ~u|の玻~u|⌒靓娣~だ","","","","","","","","","","","","","","",""," Table 3-3 Corporate and Industrial Unions by Industry","","","","","","","","","","","","  3-3 ~u|の玻~u|⌒靓娣~だ(尿) ","","","","","","","","","","","","","",""," Table 3-3 Corporate and Industrial Unions by Industry (Cont.)","","","","","","","","","",
" ","","","","","","","","","","",""," 虫臁GaBH","","","","","","","","","","","","","","  UnitGEstablishmentBPerson","",""," ","","","","","","","","","","",""," 虫臁GaBH","","","","","","","","","","  UnitGEstablishmentBPerson","","",
" ","","","","  `      p","","","","","   ABLB寒B~","","","","   q~のgホ蹦~","","","","","","    s y ~","","","   艄qU鸱~","","","","","    犁 y ~",""," ","","","  уo Bs扳の\都~","","","","","","   B块B芾xのqH~","","","","  骺摹BOIBのぃ笆玻~","","","","  u坝A叭~","","  婪|A叭の婴HA叭~","","","","  そ @  F ~","",
" ~   ┏   O ","","","","","","","","","","","","",,,,,,,,,,,,,,,,," ~   ┏   O ","","","","","","","","","","","","","  Finance, insurance,","","","","","","  Social, personal & related","","","","","",
" ","","",""," Grand total","","","  Agriculture,forestry fishing & animal husbandry","","","","","","   Mining & quarrying","","","","","","   Manufacturing","","   Electricity, gas & water","","","","","","    Construction",""," ","","  Trade & eating-drinking places","","","","","","  Transport, storage &  communication","","","","","      & real estate","","",""," Business services","","      community service","","","  Public administration","","",
" ",""," u|计","","","  |H计","","",""," u|计","","  |H计","","   u|计","",""," |H计","","  u|计",""," |H计","   u|计","","  |H计","","","  u|计",""," |H计"," ",""," u|计","","","  |H计","","",""," u|计","","  |H计","","  u|计",""," |H计","  u|计",""," |H计","  u|计","","  |H计","  u|计",""," |H计",
" End of year ","","","","","","","","","","","","",,,,,,,,,,,,,,,,," End of year ","","","","","","","","","","","","",,,,,,,,,,,,,
" ",""," Unions","","","  Members","","",""," Unions","","  Members","","   Unions","",""," Members","","  Unions",""," Members","   Unions","",""," Members","","  Unions",""," Members"," ",""," Unions","","",""," Members","",""," Unions","","  Members","","  Unions",""," Members","  Unions",""," Members","  Unions","","  Members","  Unions",""," Members",
"  81~┏  End of 1992 ","","1300","","","","669083","","","12","","","4271","","15","","2427","","","1040","421790","","24","","38841","","","9","15405","  81~┏  End of 1992 ","","12","","","","3284","","","110","","","166344","","53","4616","","2","1695","","23","10410","","0","0",
"  82~┏  End of 1993 ","","1271","","","","651086","","","12","","","4097","","13","","2031","","","1011","406121","","23","","39243","","","9","14517","  82~┏  End of 1993 ","","12","","","","3321","","","112","","","164472","","51","4494","","2","1642","","26","11148","","0","0",
"  83~┏  End of 1994 ","","1237","","","","637095","","","12","","","4031","","12","","1797","","","983","398051","","23","","37755","","","9","13768","  83~┏  End of 1994 ","","12","","","","3326","","","114","","","161029","","44","4793","","3","1764","","25","10781","","0","0",
"  84~┏  End of 1995 ","","1204","","","","598479","","","12","","","3990","","14","","1754","","","939","383930","","24","","38304","","","9","13525","  84~┏  End of 1995 ","","16","","","","4111","","","116","","","134460","","45","5093","","3","1945","","26","11367","","0","0",
"  85~┏  End of 1996 ","","1190","","","","587559","","","12","","","3931","","14","","1623","","","915","372713","","24","","37370","","","10","9452","  85~┏  End of 1996 ","","16","","","","4274","","","116","","","132293","","51","10702","","5","2235","","27","12966","","0","0",
"  86~┏  End of 1997 ","","1196","","","","588997","","","12","","","3786","","13","","1445","","","918","365904","","24","","37403","","","9","8641","  86~┏  End of 1997 ","","16","","","","4131","","","117","","","129802","","56","22849","","3","2056","","28","12980","","0","0",
"  87~┏  End of 1998 ","","1176","","","","575606","","","12","","","3741","","10","","1185","","","902","356491","","23","","36370","","","10","8748","  87~┏  End of 1998 ","","13","","","","3039","","","119","","","128450","","55","22507","","3","1919","","28","13104","","1","52",
"  88~┏  End of 1999 ","","1175","","","","613963","","","11","","","4168","","9","","1060","","","886","357185","","23","","35114","","","11","30294","  88~┏  End of 1999 ","","13","","","","2988","","","117","","","128948","","64","34658","","3","1988","","30","13669","","8","3891",
"  89~┏  End of 2000 ","","1128","","","","588832","","","10","","","3353","","8","","1058","","","844","335178","","21","","35158","","","12","9954","  89~┏  End of 2000 ","","15","","","","3197","","","111","","","127228","","54","53115","","3","1867","","33","13215","","17","5509",
"  90~┏  End of 2001 ","","1091","","","","584337","","","8","","","2747","","5","","454","","","797","321965","","19","","34593","","","12","9358","  90~┏  End of 2001 ","","14","","","","2731","","","113","","","127390","","56","56947","","3","1356","","43","19082","","21","7714",
" ","","  `      p","","","","    ABLB寒B~","","","","  q~のgホ蹦~","","","   s@y@~","","","","","  艄qU鸱~","","  犁@y@~","","","  уoのs扳~","","","","    肀Jの\都~",""," ","   B块B芾xのqH~","","","","","    骺膜潍OI~","","","",""," ぃ笆玻の哺罘~","","  M~B炀扦","","  毙|A叭~","","   洛励O胺の","","  ゅてBB笆の","","   ㄤLA叭~","","   そ@娆F~","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  мNA叭~","","","","   |褐QA叭~","","  ヰ盯A叭~","","","","","",
" ~   ┏   O ","","","","","","","","","","","","",,,,,,,,,,,,,,,,," ~   ┏   O ","","","","","","","","","","","","",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  Professional,","","","","   Health care &","","","","","","","",
" ","","  Grand total","","","","    Agriculture, forestry,","","","",""," Mining & quarrying","","   Manufacturing","","","",""," Electricity, gas","","  Construction","","","","  Trade","","","    Accommodation &",""," ","   Transportation, storage &","","","","","    Finance & insurance","","","","","  Real estate &","","  scientific &","","  Educational","","   social welfare","","  Cultural, sporting &","",""," Other",""," Public",
" ","","","","","","   fishing & animal husbandry","","","","","","","","","","","","  & water","","","","","","","","","   eating-drinking places",""," ",""," communications","","","","","","","","","  rental & leasing","","","","  services","","","","  recreational services","","   services","","   administration","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  technical services","","","","   services","","","","","","","",
" End of year ","   u|计","","  |H计","","","   u|计","  |H计","","","  u|计",""," |H计","   u|计","","  |H计","","  u|计",""," |H计","  u|计","  |H计","","  u|计",""," |H计","","  u|计"," |H计"," End of year ","   u|计","","  |H计","","","   u|计","  |H计","","","  u|计",""," |H计","  u|计","   |H计","  u|计","  |H计","   u|计","  |H计","  u|计","   |H计","   u|计","  |H计","   u|计","  |H计",
" ","   Unions","","  Members","","","   Unions",""," Members","","  Unions","","  Members","   Unions","","  Members","","  Unions","","  Members","  Unions","  Members","","  Unions",""," Members","","   Unions"," Members"," ","   Unions","","  Members","","","   Unions","  Members","","","  Unions","","  Members","  Unions","   Members","  Unions","  Members","   Unions","  Members","  Unions","   Members","   Unions","  Members","   Unions","  Members",
"  91~┏  End of 2002 ","1112","","","562234","","10","","2820","","8","","841","798","","311966","","19","","34098","14","10196","","16","","2273","","5","992","  91~┏  End of 2002 ","112","","","120747","","64","","54840","","0","","0","1","112","2","676","4","1343","28","11096","7","1269","24","8965",
"  92~┏  End of 2003 ","1111","","","559289","","10","","2567","","8","","863","795","","310828","","18","","32710","13","9174","","16","","2244","","5","970","  92~┏  End of 2003 ","114","","","121627","","63","","54701","","0","","0","1","112","2","676","4","1343","27","11002","8","1410","27","9062",
"  93~┏  End of 2004 ","1117","","","595001","","10","","2506","","8","","880","798","","312498","","17","","32352","12","9090","","16","","2179","","5","793","  93~┏  End of 2004 ","117","","","156363","","62","","54782","","0","","0","1","112","2","676","4","1343","27","10996","10","1350","28","9081",
"  94~┏  End of 2005 ","1034","","","619067","","9","","2317","","8","","1024","707","","308682","","16","","59803","13","9444","","14","","2234","","5","783","  94~┏  End of 2005 ","117","","","154933","","65","","54631","","0","","0","4","112","3","676","5","1343","27","11175","10","1621","31","10289",
"  95~┏  End of 2006 ","995","","","580315","","9","","2284","","8","","919","675","","298327","","14","","58935","13","9904","","12","","2149","","5","779","  95~┏  End of 2006 ","111","","","126871","","65","","54253","","0","","0","4","112","3","676","6","2002","26","10942","11","1793","33","10369",
"  96~┏  End of 2007 ","982","","","573161","","9","","2230","","8","","923","654","","293705","","14","","58903","13","9806","","13","","2093","","5","765","  96~┏  End of 2007 ","114","","","126334","","67","","52478","","0","","0","3","112","3","676","7","2046","27","10876","12","1848","33","10366",
"  97~┏  End of 2008 ","959","","","523289","","9","","2246","","6","","757","633","","280693","","15","","31536","11","5989","","13","","2205","","6","814","  97~┏  End of 2008 ","114","","","119548","","66","","54144","","0","","0","3","112","3","676","6","2001","26","10481","13","1754","35","10333",
"  98~┏  End of 2009 ","947","","","518073","","9","","2231","","6","","697","623","","273880","","14","","30956","10","5904","","12","","2242","","6","816","  98~┏  End of 2009 ","114","","","120648","","65","","55019","","0","","0","3","112","3","676","6","2033","26","10479","14","1901","36","10479",
" ","   `      p","","","","  ABLB寒B~","",""," q~のgホ蹦~","","","  s@y@~","","   qOのU","","",""," ノ舁牙长","","    犁丐u{~","","   уoのs扳~","","","  B块の芾x~","","","    肀Jの\都~",""," ","   XBv祷s@B","","","","  骺膜潍OI~","","","  ぃ 笆 玻 ~","","","  M~B炀","","  や穿A叭~","","  そ@娆Fの瓣尽F","","   毙@|@~","","  洛励O胺の","","   美NBT贾の","","   ㄤLA叭~","",
" ~   ┏   O ","","","","","","","","","","","","",""," ㄑ莱~","",""," γV俱v~","","","","","","","","","","",""," ~   ┏   O ","   肚冀の戈qTA叭~","","","","","","","","","","  のмNA叭~","","","","  j瞟湿婪|w","","","","  婪|u@A叭~","","   ヰ盯A叭~","","","",
" ","","","","","  Agriculture, forestry,","","","","","","","","","","","  Water supply &","","","","","","","","","","","    Accommodation &","",,,,,,,,,,,,,,"","","  Public administration","","","","  Human health &","","","","","",
" ","   Grand total","","","","  fishing & animal","",""," Mining & quarrying","","","  Manufacturing","","   Electricity &","","","","  remediation","","    Construction","","   Wholesale &","","","  Transportation &","","","    food service",""," ","   Information &","","","","  Financial &","","","  Real estate","","","  Professional, scientific","","  Support service","","  & defence; Compulsory","","   Education","","  social work","","   Arts, entertainment","","   Other service","",
,,,,,,,,,,,,,"   gas supply","","","","","","","","   retail trade","","","","  storage","","",""," ","   communication","","","","  insurance activities","","","  activities","","","  & technical activities","","  activities","","","","","","","","   & recreation","","   activities","",
" ","","","","",""," husbandry","","","","","","","","","","","  activities","","","","","","","","","","    activities","",,,,,,,,,,,,,,"","","  social security","","","",""," activities","","","","",
" End of year ","   u|计",""," |H计","","  u|计","    |H计","  u|计","","   |H计","","  u|计","   |H计","   u|计","   |H计","","  u|计","","  |H计","    u|计","  |H计","  u|计","   |H计","","  u|计","","  |H计","    u|计","  |H计"," End of year ","   u|计",""," |H计","","  u|计","    |H计","  u|计","","   |H计","","  u|计","   |H计","  u|计","  |H计","  u|计","  |H计","   u|计","  |H计","  u|计","   |H计","   u|计","  |H计","   u|计","  |H计",
" ","   Unions","","  Members","","  Unions","    Members",""," Unions","   Members","","  Unions","   Members","   Unions","   Members","","  Unions","","  Members","    Unions","  Members","   Unions","   Members","","  Unions","","  Members","    Unions","  Members"," ","   Unions","","  Members","","  Unions","    Members",""," Unions","   Members","","  Unions","   Members","  Unions","   Members","  Unions","  Members","   Unions","  Members","  Unions","   Members","   Unions","  Members","   Unions","  Members",
"  99~┏  End of 2010 ","890","","520947","","9","2201","7","","715","","600","269108","7","28517","","7","","2145","9","4462","15","1939","","97","","61793","4","804","  99~┏  End of 2010 ","19","","65892","","54","61555","0","","0","","4","179","2","357","39","16746","3","253","4","2720","2","99","8","1462",
" 100~┏  End of 2011 ","926","","564470","","9","2031","7","","606","","591","277830","13","29835","","5","","1925","10","4499","17","2715","","101","","62047","5","1465"," 100~┏  End of 2011 ","22","","66893","","55","62407","0","","0","","5","350","1","48","41","18209","13","28400","7","2854","7","355","17","2001",
" 101~┏  End of 2012 ","976","","589022","","9","2199","9","","631","","585","282571","15","30114","","6","","1910","9","4445","18","2712","","102","","63276","5","1465"," 101~┏  End of 2012 ","32","","67002","","59","63471","0","","0","","5","350","2","48","42","19165","22","43886","12","2914","13","537","31","2326",
" 102~┏  End of 2013 ","985","","619074","","9","2150","10","","2424","","581","291031","15","30854","","6","","1958","8","4307","19","2804","","98","","63210","6","1450"," 102~┏  End of 2013 ","31","","66856","","62","64019","1","","0","","5","350","4","75","41","20575","24","58008","17","4656","14","529","34","3818",
" 103~┏  End of 2014 ","1047","","624148","","9","2104","10","","2434","","581","288780","15","30842","","6","","1925","10","4342","19","2740","","104","","64027","7","1549"," 103~┏  End of 2014 ","36","","67015","","65","64637","3","","39","","9","383","5","75","45","21417","33","62282","20","4656","19","680","51","4221",
" 104~┏  End of 2015 ","1067","","626500","","9","1360","10","","2425","","570","286169","15","30987","","6","","1972","13","4430","22","2237","","108","","64835","8","1640"," 104~┏  End of 2015 ","38","","66228","","64","64142","3","","104","","12","582","7","145","47","21158","36","67921","23","4900","20","804","56","4461",
" 105~┏  End of 2016 ","1103","","633502","","9","1329","10","","2437","","571","286627","15","30987","","6","","1972","13","4429","23","2482","","117","","64955","8","1640"," 105~┏  End of 2016 ","44","","66990","","66","66238","3","","104","","14","2072","7","147","48","21897","43","67364","26","6167","22","1059","58","4606",
" 戈屁臃健G 骋笆场骋笆闽YqC ","","","","","","","","","","","","","   SourceG","   The Department of Employment Relations, MOL.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
" 弧@@G 1.セ砀戤90~Heぃt鳘郡のs靠ぁC ","","","","","","","","","","","","","   NoteG","  1.Series data exclude Kinmen County and Lienchiang County before 2001.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
" 2.90~Heㄌ沮uい地チ瓣娣~夹非だ摸]材6Ω篆q^vssA91-98~ㄌ沮材7Ω篆qssA99-101~ㄌ沮＜ ","","","","","","","","","","","","","","  2.Data series were classified before 2001 refer to Standard Industrial Classification System of R.O.C, Rev.6. Data series from","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
"    材8Ω篆qssA102-104~ㄌ沮材9Ω篆qssA105~_ㄌ沮材10Ω篆qssC ","","","","","","","","","","","","","","     2002 to 2009 refer to Rev.7. Data series from 2010 to 2012 refer to Rev.8. Data series from 2013 to 2015 refer to Rev.9.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"","     Data series from 2016 refer to Rev.10.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
" ","","","","","    -40-","","","","","","","","","","","","","","","    -41-","","","","","","","",""," ","","","","","    -42-","","","","","","","","","","","","","    -43-","","","","","","",
