,消費者物價指數年增率(%),基本工資(元)(年底)月薪,基本工資(元)(年底)時薪,工業及服務業每人每月薪資(元),對上年(同期)變動率,工業及服務業每人每月經常性薪資(元),對上年(同期)變動率,製造業每人每月薪資(元),對上年(同期)變動率,製造業每人每月經常性薪資(元),對上年(同期)變動率,工業及服務業每人每月平均工時(小時),對上年(同期)變動率,工業及服務業每人每月平均正常工時(小時),對上年(同期)變動率
  67年  1978 ,5.79,2400, ..., ..., ..., ..., ...,5416,11.46,4375,13.25, ..., ..., ..., ...
  68年  1979 ,9.75,2400, ..., ..., ..., ..., ...,6549,20.92,5447,24.5, ..., ..., ..., ...
  69年  1980 ,19.02,3300, ...,8843, ...,7760, ...,8034,22.68,6719,23.35,215.1, ...,202.7, ...
  70年  1981 ,16.31,3300, ...,10677,20.74,9573,23.36,9555,18.93,8360,24.42,207.4,-3.58,196.5,-3.06
  71年  1982 ,2.95,3300, ...,11472,7.45,10396,8.6,10455,9.42,9264,10.81,208.5,0.53,198.2,0.87
  72年  1983 ,1.38,5700, ...,12122,5.67,11021,6.01,11121,6.37,9902,6.89,207.3,-0.58,196.5,-0.86
  73年  1984 ,-0.03,6150, ...,13409,10.62,11995,8.84,12151,9.26,10811,9.18,207.5,0.1,195.7,-0.41
  74年  1985 ,-0.16,6150, ...,13980,4.26,12534,4.49,12677,4.33,11372,5.19,203.8,-1.78,194.2,-0.77
  75年  1986 ,0.69,6900, ...,15118,8.14,13237,5.61,13960,10.12,12054,6,205.3,0.74,193.4,-0.41
  76年  1987 ,0.52,6900, ...,16496,9.11,14186,7.17,15333,9.84,13039,8.17,205.2,-0.05,193.6,0.1
  77年  1988 ,1.28,8130, ...,18399,11.54,15562,9.7,16987,10.79,14389,10.35,202.5,-1.32,192.1,-0.77
  78年  1989 ,4.42,8820, ...,21247,15.48,17543,12.73,19429,14.38,16200,12.59,199.5,-1.48,189.6,-1.3
  79年  1990 ,4.13,9750, ...,24317,14.45,19885,13.35,22011,13.29,18155,12.07,197,-1.25,187.5,-1.11
  80年  1991 ,3.62,11040, ...,26881,10.54,22039,10.83,24426,10.97,20019,10.27,196.7,-0.15,187.2,-0.16
  81年  1992 ,4.46,12365,51.5,29449,9.55,23914,8.51,26938,10.28,21837,9.08,196.3,-0.2,187,-0.11
  82年  1993 ,2.95,13350,55.5,31708,7.67,25610,7.09,28822,6.99,23376,7.05,196.1,-0.1,186.9,-0.05
  83年  1994 ,4.1,14010,58.5,33661,6.16,27085,5.76,30748,6.68,24741,5.84,196.5,0.2,186.3,-0.32
  84年  1995 ,3.66,14880,62,35389,5.13,28407,4.88,32489,5.66,25987,5.04,194.3,-1.12,184.6,-0.91
  85年  1996 ,3.08,15360,64,36699,3.7,29761,4.77,33833,4.14,27020,3.98,193.3,-0.51,183.8,-0.43
  86年  1997 ,0.9,15840,66,38489,4.88,30979,4.09,35402,4.64,28101,4,193.8,0.26,183.7,-0.05
  87年  1998 ,1.69,15840,66,39673,3.08,31989,3.26,36431,2.91,28929,2.95,190.2,-1.86,180.9,-1.52
  88年  1999 ,0.17,15840,66,40842,2.95,33068,3.37,37738,3.59,29935,3.48,190.2,0,180.4,-0.28
  89年  2000 ,1.25,15840,66,41861,2.49,33953,2.68,38914,3.12,30892,3.2,190.1,-0.05,180.2,-0.11
  90年  2001 ,0,15840,66,41960,0.24,34489,1.58,38412,-1.29,31307,1.34,180.4,-5.1,171.8,-4.66
  91年  2002 ,-0.2,15840,66,41530,-1.02,34746,0.75,38435,0.06,31537,0.73,181.4,0.55,172.5,0.41
  92年  2003 ,-0.28,15840,66,42065,1.29,34804,0.17,39549,2.9,31942,1.28,181.3,-0.06,172.1,-0.23
  93年  2004 ,1.61,15840,66,42680,1.46,35096,0.84,40657,2.8,32470,1.65,183.5,1.21,173.5,0.81
  94年  2005 ,2.3,15840,66,43159,1.12,35382,0.81,41858,2.95,33022,1.7,181.9,-0.87,172.4,-0.63
  95年  2006 ,0.6,15840,66,43488,0.76,35724,0.97,42393,1.28,33620,1.81,180.9,-0.55,171.8,-0.35
  96年  2007 ,1.8,17280,95,44392,2.08,36319,1.67,43178,1.85,34067,1.33,180.4,-0.28,171.4,-0.23
  97年  2008 ,3.52,17280,95,44367,-0.06,36387,0.19,43121,-0.13,34125,0.17,179.7,-0.39,171.5,0.06
  98年  2009 ,-0.86,17280,95,42182,-4.92,35629,-2.08,39125,-9.27,32480,-4.82,176.7,-1.67,170.4,-0.64
  99年  2010 ,0.96,17280,95,44359,5.16,36214,1.64,42300,8.12,33273,2.44,181.1,2.49,172.3,1.12
 100年  2011 ,1.42,17880,98,45508,2.59,36689,1.31,43316,2.4,33724,1.36,178.7,-1.33,170.3,-1.16
 101年  2012 ,1.93,18780,103,45589,0.18,37151,1.26,43689,0.86,34235,1.52,178.4,-0.17,170.4,0.06
 102年  2013 ,0.79,19047,109,45664,0.16,37527,1.01,43829,0.32,34598,1.06,177,-0.78,168.6,-1.06
 103年  2014 ,1.2,19273,115,47300,3.58,38208,1.81,45207,3.14,35095,1.44,177.9,0.51,169.3,0.42
 104年  2015 ,-0.31,20008,120,48490,2.52,38716,1.33,46781,3.48,35581,1.38,175.3,-1.46,167,-1.36
 105年  2016 ,1.4,20008,126,48790,0.62,39238,1.35,47258,1.02,36120,1.51,169.5,-3.31,161,-3.59