,總計,性別_男,性別_女,身分別_工會,身分別_勞工
總計Grandtotal,36582,20397,16185,242,36340
本部MinistryofLabor,6,5,1,6,0
新北市NewTaipeiCity,5707,3255,2452,61,5646
臺北市TaipeiCity,6257,3064,3193,12,6245
桃園市TaoyuanCity,4707,2700,2007,11,4696
臺中市TaichungCity,4385,2350,2035,2,4383
臺南市TainanCity,2642,1362,1280,0,2642
高雄市KaohsiungCity,5106,3032,2074,8,5098
宜蘭縣YilanCounty,627,380,247,1,626
新竹縣HsinchuCounty,1136,670,466,16,1120
苗栗縣MiaoliCounty,561,354,207,1,560
彰化縣ChanghwaCounty,1016,535,481,23,993
南投縣NantouCounty,179,97,82,0,179
雲林縣YunlinCounty,369,260,109,1,368
嘉義縣ChiayiCounty,459,258,201,0,459
屏東縣PingtungCounty,706,409,297,0,706
臺東縣TaitungCounty,95,59,36,0,95
花蓮縣HwalienCounty,377,215,162,0,377
澎湖縣PenghuCounty,136,91,45,99,37
基隆市KeelungCity,383,218,165,0,383
新竹市HsinchuCity,383,211,172,0,383
嘉義市ChiayiCity,476,251,225,1,475
金門縣KinmenCounty,105,104,1,0,105
連江縣LienchiangCounty,3,2,1,0,3
加工出口區ExportProcessingZones,129,74,55,0,129
科學工業園區ScienceParks,632,441,191,0,632