,項目別總計,性別_男,性別_女,身分別_工會,身分別_勞工
總計,36582,20397,16185,242,36340
權利事項,36188,20127,16061,99,36089
契約爭議,1792,1042,750,2,1790
契約性質爭議,645,375,270,1,644
恢復僱傭關係爭議,1147,667,480,1,1146
工資爭議,17200,9379,7821,3,17197
積欠工資,15572,8421,7151,1,15571
加班費,1628,958,670,2,1626
給付資遣費爭議,9420,5084,4336,0,9420
給付退休金爭議,1716,1065,651,1,1715
勞工保險給付爭議,605,353,252,1,604
職業災害補償爭議,1937,1335,602,0,1937
工會身分保護爭議,8,8,0,2,6
休假爭議,222,140,82,5,217
其他權利事項爭議,3288,1721,1567,85,3203
調整事項,394,270,124,143,251
調整工資爭議,133,104,29,107,26
結算年資爭議,1,1,0,0,1
工時爭議,97,65,32,2,95
其他調整事項爭議,163,100,63,34,129