地區別,99年,100年,101年,102年,103年,104年,105年
總計,84016,64037,75821,74021,65319,72623,74715
新北市,14850,12932,15204,14581,12551,13089,13333
臺北市,25709,19337,22891,23026,19734,20938,24358
桃園市,7536,5724,7418,6379,5440,7117,7227
臺中市,7961,5705,6596,6199,6305,8710,6738
臺南市,6064,3263,4099,5472,3712,4118,5196
高雄市,7640,5479,6182,5873,5605,5578,6162
宜蘭縣,781,627,626,578,523,475,548
新竹縣,1693,2381,2036,2793,2369,3047,2566
苗栗縣,1398,724,1296,994,939,838,1042
彰化縣,2260,1657,1871,1757,1785,1571,1370
南投縣,699,750,402,426,404,422,320
雲林縣,979,577,631,601,723,863,668
嘉義縣,571,439,492,415,364,399,412
屏東縣,1181,708,715,805,956,1113,840
臺東縣,363,220,199,205,186,213,186
花蓮縣,539,419,373,351,301,332,402
澎湖縣,129,112,97,67,117,122,43
基隆市,602,377,366,454,406,633,439
新竹市,2440,2195,3938,2604,2370,2642,2522
嘉義市,524,350,320,377,476,333,283
金門縣,74,48,55,53,37,47,45
連江縣,23,13,14,11,16,23,15